"Current Assigned Rank","Programme Preference","Programme Type","Programme Title","Programme Description","Unit of Application","Group","Foundation School","Duration","Pattern","Places Available","Placement 1: Year","Placement 1: Employer/Trust","Placement 1: Site","Placement 1: Location","Placement 1: Specialty","Placement 1: Description","Placement 2: Year","Placement 2: Employer/Trust","Placement 2: Site","Placement 2: Location","Placement 2: Specialty","Placement 2: Description","Placement 3: Year","Placement 3: Employer/Trust","Placement 3: Site","Placement 3: Location","Placement 3: Specialty","Placement 3: Description","Placement 4: Year","Placement 4: Employer/Trust","Placement 4: Site","Placement 4: Location","Placement 4: Specialty","Placement 4: Description","Placement 5: Year","Placement 5: Employer/Trust","Placement 5: Site","Placement 5: Location","Placement 5: Specialty","Placement 5: Description","Placement 6: Year","Placement 6: Employer/Trust","Placement 6: Site","Placement 6: Location","Placement 6: Specialty","Placement 6: Description","Placement 7: Year","Placement 7: Employer/Trust","Placement 7: Site","Placement 7: Location","Placement 7: Specialty","Placement 7: Description","Placement 8: Year","Placement 8: Employer/Trust","Placement 8: Site","Placement 8: Location","Placement 8: Specialty","Placement 8: Description","Programme Name","Programme Number","Tags"
"0","23/EAN/01/RC979/01/01","FP","23/EAN/01/RC979/01/01","F1 - General (Internal) Medicine, Emergency Medicine, General Surgery. F2 - General (Internal) Medicine, General Surgery, General Psychiatry. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","EAST LONDON NHS FOUNDATION TRUST","Bedford and Luton Community Trust","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/02","FP","23/EAN/01/RC979/01/02","F1 - Emergency Medicine, General Surgery, General (Internal) Medicine. F2 - General Psychiatry, General (Internal) Medicine, General Surgery. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/03","FP","23/EAN/01/RC979/01/03","F1 - General Surgery, General (Internal) Medicine, Emergency Medicine. F2 - General Surgery, General Psychiatry, General (Internal) Medicine. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","EAST LONDON NHS FOUNDATION TRUST","Bedford and Luton Community Trust","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/04","FP","23/EAN/01/RC979/01/04","F1 - General (Internal) Medicine, General Surgery, Acute Internal Medicine. F2 - Emergency Medicine, Trauma and Orthopaedic Surgery, Paediatrics (Integrated Community). Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Acute Internal Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","Community","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/05","FP","23/EAN/01/RC979/01/05","F1 - Acute Internal Medicine, General Surgery, General (Internal) Medicine. F2 - Paediatrics (Integrated Community), Emergency Medicine, Trauma and Orthopaedic Surgery.Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Acute Internal Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","Community","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/06","FP","23/EAN/01/RC979/01/06","F1 - General (Internal) Medicine, General (Internal) Medicine, General Surgery. F2 - Trauma and Orthopaedic Surgery, Paediatrics (Integrated Community), Emergency Medicine. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/07","FP","23/EAN/01/RC979/01/07","F1 - General (Internal) Medicine, General Psychiatry, Acute Internal Medicine . F2 - Neurosurgery, Emergency Medicine, Infectious Diseases. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Acute Internal Medicine","","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Neurosurgery","","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Emergency Medicine","","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Infectious Diseases","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/08","FP","23/EAN/01/RC979/01/08","F1 - General Psychiatry, Acute Internal Medicine, General (Internal) Medicine,  F2 - Infectious Diseases, Neurosurgery, Emergency Medicine. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Acute Internal Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Infectious Diseases","","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Neurosurgery","","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Emergency Medicine","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/09","FP","23/EAN/01/RC979/01/09","F1 - General Surgery, General (Internal) Medicine, General Psychiatry  F2 -  Emergency Medicine, Infectious Diseases, Neurosurgery. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Emergency Medicine","","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Infectious Diseases","","F2","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Addenbrookes Hospital","Cambridge","Neurosurgery","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/10","FP","23/EAN/01/RC979/01/10","F1 - Emergency Medicine, General (Internal) Medicine, General Surgery. F2 - Foundation (TBC), Urology, Obstetrics and Gynaecology. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Foundation","TBC","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Urology","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Obstetrics and Gynaecology","","","","","","","","","","","","","","","",""
